totalCFIA,totalLiabilities,financial,revenue,url,netIncome,company,totalCFFA,totalCFOA,grossProfit,totalAssets,totalSHEquity,netTangibleAs,changeCash,operatingIncome
,,"[6343000, 5394000, 826000, 123000]",,http://finance.yahoo.com/q/cf?s=EXC+Cash+Flow&annual,,Exelon Corporation (EXC),,,,,,,,
,,"[6097000, 5742000, 324000, 31000]",,http://finance.yahoo.com/q/cf?s=SO+Cash+Flow&annual,,Southern Company (SO),,,,,,,,
,,"[79924000, 56999000, 22925000, 20300000]",,http://finance.yahoo.com/q/bs?s=EXC+Balance+Sheet&annual,,Exelon Corporation (EXC),,,,,,,,
,,"[17087000, 7270000, 3255000, 1710000]",,http://finance.yahoo.com/q/is?s=SO+Income+Statement&annual,,Southern Company (SO),,,,,,,,
,,"[6382000, 4978000, 1327000, 77000]",,http://finance.yahoo.com/q/cf?s=DUK+Cash+Flow&annual,,Duke Energy Corporation (DUK),,,,,,,,
,,"[24888000, 6894000, 3656000, 1729000]",,http://finance.yahoo.com/q/is?s=EXC+Income+Statement&annual,,Exelon Corporation (EXC),,,,,,,,
,,"[24598000, 9504000, 4982000, 2665000]",,http://finance.yahoo.com/q/is?s=DUK+Income+Statement&annual,,Duke Energy Corporation (DUK),,,,,,,,
,,"[114779000, 73449000, 41330000, 24990000]",,http://finance.yahoo.com/q/bs?s=DUK+Balance+Sheet&annual,,Duke Energy Corporation (DUK),,,,,,,,
,,"[64546000, 44407000, 19764000, 19764000]",,http://finance.yahoo.com/q/bs?s=SO+Balance+Sheet&annual,,Southern Company (SO),,,,,,,,
url,company,data_required
http://finance.yahoo.com/q/cf?s=EXC+Cash+Flow&annual,Exelon Corporation (EXC),"[[u'\n                            6,343,000\xa0\xa0\n                                '], [u'\n                            (5,394,000)\n                                '], [u'\n                            (826,000)\n                                '], [u'\n                            123,000\xa0\xa0\n                                ']]"
http://finance.yahoo.com/q/is?s=EXC+Income+Statement&annual,Exelon Corporation (EXC),"[[u'\n                            6,343,000\xa0\xa0\n                                '], [u'\n                            (5,394,000)\n                                '], [u'\n                            (826,000)\n                                '], [u'\n                            123,000\xa0\xa0\n                                '], [u'\n                            24,888,000\xa0\xa0\n                                '], [u'\n                            6,894,000\xa0\xa0\n                                '], [u'\n                            3,656,000\xa0\xa0\n                                '], [u'\n                            1,729,000\xa0\xa0\n                                ']]"
http://finance.yahoo.com/q/bs?s=EXC+Balance+Sheet&annual,Exelon Corporation (EXC),"[[u'\n                            6,343,000\xa0\xa0\n                                '], [u'\n                            (5,394,000)\n                                '], [u'\n                            (826,000)\n                                '], [u'\n                            123,000\xa0\xa0\n                                '], [u'\n                            24,888,000\xa0\xa0\n                                '], [u'\n                            6,894,000\xa0\xa0\n                                '], [u'\n                            3,656,000\xa0\xa0\n                                '], [u'\n                            1,729,000\xa0\xa0\n                                '], [u'\n                            79,924,000\xa0\xa0\n                                '], [u'\n                            56,999,000\xa0\xa0\n                                '], [u'\n                            22,925,000\xa0\xa0\n                                '], [u'\n                            20,300,000\xa0\xa0\n                                ']]"
