company Name	id	totalCFOA2013	totalCFIA2013	totalCFFA2013	ChangeCash2013	totalAssets2013	TotalLIabilities2013	totalSHEQUITY2013	netTangibleAssets2013	Revenue2013	GrossProfit2013	OperatingIncome2013	NetIncome2013	totalCFOA2012	totalCFIA2012	totalCFFA2012	ChangeCash2012	totalAssets2012	TotalLIabilities2012	totalSHEQUITY2012	netTangibleAssets2012	Revenue2012	GrossProfit2012	OperatingIncome2012	NetIncome2012	totalCFOA2011	totalCFIA2011	totalCFFA2011	ChangeCash2011	totalAssets2011	TotalLIabilities2011	totalSHEQUITY2011	netTangibleAssets2011	Revenue2011	GrossProfit2011	OperatingIncome2011	NetIncome2011	
NextEra Energy, Inc.	NEE	5102000	6123000	1130000	109000	69306000	51266000	18040000	18040000	15136000	6984000	3241000	1908000	3992000	8928000	4888000	48000	64439000	48371000	16068000	16068000	14256000	5980000	3276000	1911000	4074000	5279000	1280000	75000	57188000	42245000	14943000	14943000	15341000	6083000	3261000	1923000	
American Electric Power Co., Inc.	AEP	4106000	3818000	449000	161000	56414000	40329000	16085000	15994000	15357000	8619000	2855000	1480000	3804000	3391000	355000	58000	54367000	39130000	15237000	15146000	14945000	8550000	2656000	1259000	3788000	2890000	971000	73000	52223000	37559000	14664000	14588000	15116000	8268000	2782000	1946000	
Exelon Corporation	EXC	6343000	5394000	826000	123000	79924000	56999000	22925000	20300000	24888000	6894000	3656000	1729000	6131000	4576000	1085000	470000	78561000	56850000	21624000	18999000	23489000	5371000	2380000	1069000	4853000	4603000	846000	596000	54995000	40523000	14385000	11760000	19063000	6612000	4479000	2494000	
PG&E Corporation	PCG	3427000	5107000	1575000	105000	55605000	41011000	14342000	14342000	15598000	3839000	1762000	828000	4882000	4526000	468000	112000	52449000	39123000	13074000	13074000	15040000	3965000	1693000	830000	3739000	3986000	469000	222000	49750000	37397000	12101000	12101000	14956000	4157000	1942000	858000	
Duke Energy Corporation	DUK	6382000	4978000	1327000	77000	114779000	73449000	41330000	24990000	24598000	9504000	4982000	2665000	5244000	6197000	267000	686000	113856000	72900000	40863000	24498000	19624000	7050000	3126000	1768000	3672000	4434000	1202000	440000	62526000	39754000	22772000	18560000	14529000	5614000	2777000	1706000	
FirstEnergy Corp.	FE	2662000	3093000	477000	46000	50424000	37732000	12692000	6274000	14917000	8458000	1607000	392000	2320000	3157000	807000	30000	50494000	37410000	13084000	6637000	15273000	8556000	2152000	770000	3063000	956000	2924000	817000	47326000	34046000	13280000	6839000	16105000	8914000	1677000	885000	
Dominion Resources, Inc.	D	3433000	3458000	93000	68000	50096000	38197000	11642000	7996000	13120000	5087000	3316000	1697000	4137000	3840000	151000	146000	46838000	36013000	10568000	6902000	12835000	4535000	2858000	302000	2983000	3321000	378000	40000	45614000	33911000	11446000	7668000	13765000	4427000	2880000	1408000	
Consolidated Edison, Inc.	ED	2552000	2659000	387000	280000	40647000	28402000	12245000	11812000	12354000	8300000	2244000	1062000	2599000	2523000	330000	254000	41209000	29340000	11869000	11438000	12188000	8301000	2339000	1141000	3137000	2150000	677000	310000	39214000	27565000	11649000	11217000	12886000	7885000	2239000	1062000	
The AES Corporation	AES	2715000	1774000	1136000	258000	40411000	32682000	4330000	2411000	15891000	3247000	2560000	114000	2901000	895000	1867000	276000	41830000	34238000	4569000	2246000	17164000	3583000	1419000	912000	2884000	4906000	1412000	736000	45346000	35539000	5946000	1581000	16098000	4040000	3504000	58000	
Entergy Corporation	ETR	3189219	2601593	380824	206557	43406446	33469220	9726466	9349294	11390947	3802062	1354999	730572	2940285	3639797	538151	161869	43202502	33724902	9291089	8913917	10302079	3718452	1301181	868363	3128817	3446853	282285	600034	40701699	31459918	9055270	8678098	11229073	4048016	2013234	1367372	
Xcel Energy Inc.	XEL	2584036	3213384	654169	24821	33907490	24341540	9565950	9565950	10914922	3506644	1847555	948234	2004756	2332942	349825	21639	31140686	22266609	8874077	8874077	10128223	3418187	1822683	905229	2405522	2247801	205474	47753	29497267	21015069	8482198	8482198	10654770	3328414	1781602	841172	
Edison International	EIX	3203000	3808000	581000	24000	46646000	36708000	9938000	9938000	12581000	3908000	1715000	1015000	3334000	5283000	650000	1299000	44394000	34962000	9432000	9432000	11862000	3819000	2285000	92000	3906000	4933000	1107000	80000	48039000	37984000	10055000	10055000	10588000	3514000	2061000	22000	
Public Service Enterprise Group Inc.	PEG	3158000	2801000	243000	114000	32522000	20914000	11608000	11559000	9968000	3545000	2299000	1243000	2787000	2625000	617000	455000	31725000	20945000	10780000	10730000	9781000	3430000	2278000	1275000	3557000	1269000	1734000	554000	29821000	19551000	10270000	10123000	11079000	3851000	2742000	1503000	
Sempra Energy	SRE	1784000	1689000	338000	429000	37244000	26216000	11008000	9558000	10557000	3371000	1684000	1009000	2018000	3158000	1355000	223000	36499000	26118000	10282000	8735000	9647000	3001000	1552000	865000	1867000	3070000	534000	660000	33249000	23375000	9775000	8291000	10036000	3065000	1746000	1339000	
PPL Corporation	PPL	2857000	4295000	1631000	201000	46259000	33793000	12466000	7294000	11860000	7386000	2339000	1130000	2764000	3123000	48000	301000	43634000	33154000	10480000	5397000	12286000	7410000	3109000	1526000	2507000	7952000	5767000	277000	42648000	31820000	10828000	5649000	12737000	7054000	3101000	1495000	
DTE Energy Company	DTE	2154000	1906000	261000	13000	25935000	18014000	7921000	5781000	9661000	2628000	1203000	661000	2209000	1769000	443000	3000	26339000	18966000	7373000	5220000	8791000	2603000	1279000	610000	2008000	1560000	445000	3000	26009000	19000000	7009000	4916000	8858000	2709000	1421000	711000	
Southern Company	SO	6097000	5742000	324000	31000	64546000	44407000	19764000	19764000	17087000	7270000	3255000	1710000	4898000	5168000	417000	687000	63149000	43770000	19004000	19004000	16537000	7164000	4463000	2415000	5903000	4183000	852000	868000	59267000	40607000	18285000	18285000	17657000	6849000	4231000	2268000	
CenterPoint Energy, Inc.	CNP	1613000	1300000	751000	438000	21870000	17541000	4329000	3489000	8106000	2351000	1010000	311000	1860000	1603000	169000	426000	22871000	18570000	4301000	2833000	7452000	2705000	1038000	417000	1888000	1206000	661000	21000	21703000	17481000	4222000	2526000	8450000	2560000	1298000	1357000	
Northeast Utilities	NU	1663539	1441223	224700	2384	27795537	18028441	9611528	6092127	7301204	3303264	1529435	786007	1161229	1467924	345884	39189	28302824	18910206	9237050	5717649	6273787	2606353	1118206	525945	970386	1018587	31365	16836	15647066	11518196	4012670	3725079	4465657	1712385	794176	394693	
Ameren Corporation	AEE	1693000	1723000	149000	179000	21042000	14498000	6544000	6111000	5838000	2348000	1184000	295000	1690000	1310000	426000	46000	22230000	15614000	6616000	6191000	5781000	2304000	1188000	974000	1878000	1048000	1120000	290000	23645000	15726000	7919000	7501000	6148000	2198000	1033000	526000	
AGL Resources Inc.	GAS	971000	876000	121000	26000	14656000	11025000	3631000	1570000	4617000	1286000	686000	313000	1003000	786000	155000	62000	14141000	10728000	3413000	1480000	3922000	1210000	610000	271000	451000	1339000	933000	45000	13913000	10595000	3318000	1400000	2338000	740000	440000	172000	
Hawaiian Electric Industries Inc.	HE	327146	563760	236988	374	10340044	8578681	1727070	1644880	3238470	503811	315419	163406	234542	427047	141902	50603	10149132	8520974	1593865	1511675	3374995	478568	284196	140548	250366	326787	16035	60386	9594477	8031478	1528706	1446516	3242335	478779	289696	140120	
SCANA Corp.	SCG	1050000	946000	40000	64000	15164000	10500000	4664000	4664000	4495000	1508000	910000	471000	839000	1056000	260000	43000	14616000	10462000	4154000	4154000	4176000	1422000	859000	420000	811000	1077000	240000	26000	13534000	9645000	3889000	3889000	4409000	1360000	813000	387000	
Alliant Energy Corporation	LNT	731000	754700	12300	11400	11112400	7631000	3481400	3481400	3276800	1004400	533900	376200	841100	1155500	324200	9800	10785500	7445500	3280000	3280000	3094500	950300	519700	335700	702700	652100	198500	147900	9687900	6469800	3158100	3158100	3221400	932500	513300	321900	
CMS Energy Corp.	CMS	1421000	1532000	190000	79000	17416000	13925000	3454000	3454000	6566000	2004000	1142000	454000	1241000	1350000	41000	68000	17131000	13893000	3194000	3194000	6253000	1830000	1003000	384000	1169000	1058000	199000	86000	16452000	13380000	3028000	3028000	6503000	1754000	1003000	417000	
NiSource Inc.	NI	1436800	1891400	445100	9500	22653900	16767300	5886600	1944700	5657300	3841800	1143400	532100	1275500	1425200	174500	24800	21844700	16290400	5554300	1590400	5030900	3514000	1040100	416100	870200	1149300	281400	2300	20708300	15711000	4997300	1022400	5751000	3447500	914400	299100	
Pepco Holdings, Inc.	POM	497000	411000	88000	2000	14848000	10533000	4315000	2908000	4666000	1599000	668000	212000	592000	969000	293000	84000	15794000	11380000	4414000	3007000	4625000	1434000	541000	285000	686000	747000	149000	88000	14910000	10574000	4336000	2929000	4964000	1366000	553000	257000	
Pinnacle West Capital Corporation	PNW	1153307	1009401	160582	16676	13508686	9314216	4194470	4036781	3454628	1434192	846323	439966	1171122	872994	305509	7381	13379615	9406809	3972806	3810656	3301804	1422245	851755	413164	1125583	782007	420181	76605	13111018	9289168	3821850	3651279	3241379	1327629	746508	366940	
TECO Energy, Inc.	TE	658600	521800	152100	15300	7448000	5114300	2333700	2333700	2851300	1439800	463700	197700	756700	299200	301000	156500	7334900	5043100	2291800	2291800	2996600	1578400	556500	212700	754100	435200	342400	23500	7322200	5055000	2266600	2211200	3209900	1705300	583200	272600	
OGE Energy Corp.	OGE	623200	957000	338800	5000	9134700	6097600	3037100	3037100	2867700	1438800	553500	387600	1046100	1192600	143700	2800	9922200	7155000	2767200	2600400	3671200	1752500	676900	355000	833900	1395800	564200	2300	8906000	6342700	2563300	2386900	3915900	1638000	646700	342900	
Atmos Energy Corporation	ATO	613127	696914	85747	1960	7940401	5359992	2580409	1838925	3886257	1412050	501879	243194	586917	609260	44837	67180	7495675	5136432	2359243	1618396	3438483	1323739	446240	216717	582844	627386	44009	533	7282871	5027450	2255421	1515214	4286435	1300820	425986	207601	
Wisconsin Energy Corp.	WEC	1231000	745800	494800	9600	14769400	10506000	4263400	3821500	4519000	1536900	1080100	577400	1173900	729600	422800	21500	14285000	10119500	4165500	3723600	4246400	1485900	1000300	546300	993400	892500	111300	10400	13862100	9868400	3993700	3551800	4486400	1331200	887300	526200	
Vectren Corporation	VVC	587000	405100	179900	2000	5102600	3548300	1554300	1292000	2491200	1930200	333600	136600	387400	356900	19600	10900	5089100	3563000	1526100	1263800	2232800	1739500	352500	159000	416900	319700	99000	1800	4878900	3413400	1465500	1203200	2325200	1709400	370000	141600	
Great Plains Energy Incorporated	GXP	776800	705800	69700	1300	9795400	6282000	3513400	3344400	2446300	1056300	569200	250200	663800	638400	22300	3100	9647300	6268300	3379000	3210000	2309900	993700	538900	199900	443000	485700	38100	4600	9118000	6119100	2998900	2829900	2318000	942400	479800	174400	
Westar Energy, Inc.	WR	702803	641901	62244	1342	9597111	6528580	3062774	3062774	2370654	1198193	579185	292520	599106	797337	200521	2290	9265231	6354976	2896140	2896140	2261470	1162878	562133	275146	462696	701516	241431	2611	8682851	5882110	2790647	2790647	2170991	1075045	512429	230239	
Southwest Gas Corporation	SWX	346209	348038	17376	15547	4565174	3150651	1414523	1414523	1950782	1129867	274215	145320	386324	373993	8738	3593	4488057	3177878	1310179	1310179	1927778	1078197	271524	133331	252042	358799	12598	94159	4276007	3049987	1226020	1226020	1887188	915201	250080	112287	
