year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
2001,68,Manufacturing,1.07552489909301,2.14239242244652,0.605556802932438,11.8798056448178,2.34351186135406,2.80500313095624,0.32211277282669,0.594511046204668,0.445603879747575,Inf,1.49571772573947,0.219758606586094,-0.0260882176093025,-0.0207662863968114,-0.0123457866515541,-0.00668908609259009,0.21535665940406,0.497979507477528,0.282654473843274,0,0.188928868864534,0.219389257185799,4.90202082057563,0.845660229303806,0.458188225549852,0.188928868864534
2002,68,Manufacturing,0.569024459344603,1.75283785059968,0.0283123996600246,8.85960468732467,2.42536071179752,4.62188380708665,0.318388765765449,0.620854480789235,0.40927951325248,Inf,1.98508325790555,0.174838194875432,0.00533771448112892,0.00275028000383592,0.00170752366380656,0.000875658255930712,0.160390635756698,0.675369596138098,0.0161523210206457,0,0.096414748734419,0.187823933760535,-4.92487479131886,0.949988653954602,0.487176503323757,0.096414748734419
2003,68,Manufacturing,0.530992875071756,1.51979897121889,0,11.6557345160286,3.07998429113758,6.48756509782267,0.357771586679293,0.703303023438426,0.451502501657725,Inf,2.21886560487619,0.0968845022847206,-0.0236950056575623,-0.0216105527722055,-0.0151987671028678,-0.00773164175432856,0.16124076460199,0.650616374186716,0,0,0.112058520057023,0.21594523284911,5.86936750723439,0.965787808825825,0.491298096615369,0.479317087754564
2004,68,Manufacturing,0.553609781924618,1.73383914567995,0,10.1165872453818,3.09077866510925,5.73665080758785,0.495920885478235,0.937740116891657,0.654445964644731,Inf,2.42801008282319,0.133487102274143,0.0577618313691012,0.0407285990059597,0.0381928411926821,0.0201981628833235,0.204249928361746,0.680702916816709,0,0,0.159571890649782,0.250029348219749,7.74713558243157,0.890906683608131,0.471153172883259,0.532762604123737
2005,68,Manufacturing,0.498781999790452,1.46147364928579,0,13.3926916764702,3.78790393527966,8.72342418193686,0.570080931688116,1.07666881114537,0.751920108483377,Inf,2.7545008378862,0.0941594812862003,-0.00454058931145059,-0.0080086582433873,-0.0086226725497774,-0.00456558335296194,0.20696342649349,0.658712970956266,0,0,0.192406793023027,0.300974279801596,-3.60017196904557,0.888625661587249,0.470514739384632,0.566005978385836
2006,68,Manufacturing,0.332410987383803,0.899997756455798,0.0745866269808626,10.2264343069941,2.85738708232318,-19.714870625187,0.796504474209564,1.623690434397,1.29219542680685,Inf,2.19059578711205,0.17738302849952,0.0740211795252577,0.0488891038388482,0.0793807702493795,0.0389403899477386,0.363601755693882,0.630653537745648,0.0828742365698616,0,0.682390146915574,0.793020880129406,4.03473586271064,1.03852016777221,0.509448071297306,0.886085201840263
2007,68,Manufacturing,1.00263810686302,2.94616162013886,0.206297331705845,9.9547682807264,2.58055047193277,3.05853340526931,0.945353858553854,1.9566858132304,1.77666781580377,Inf,2.02039164673091,0.157422175313364,0.104486541551334,0.0639480272064844,0.125126197619,0.0604535142665569,0.46790623990328,0.659679869559988,0.0700224082398172,0,0.147543848564327,0.307276704034458,3.53201321771969,1.06979195729271,0.51685965515684,0.331103544047525
2008,68,Manufacturing,0.338652845769905,1.49872488815229,0.0777032658574672,13.0508227437428,1.15862180593566,3.43861893565688,0.780622521702613,2.74618966165269,2.45640781455191,Inf,1.14425593225323,0.216242758743974,0.0190873084593512,0.0108095123708864,0.0296849711204351,0.00843814880533692,0.682209722230096,0.77403935275445,0.0518462504170891,0,0.0976548624849282,0.635973316452519,3.15990012022565,2.51794675114483,0.715742969190509,0.15303437313221
2009,68,Manufacturing,0.946302896460667,3.19090862650943,0.107421713827643,10.5725893824485,2.4546807326151,2.31032967505995,0.784834868226642,1.24943450983739,1.55507560959709,Inf,1.5862946287831,-0.0885211183412751,-0.149127178947336,-0.0942185600432257,-0.117719920385193,-0.073946011156029,0.494759834639744,0.703437795554855,0.0336649294609079,0,0.312707991630359,0.416979490448156,3.72181427159824,0.591971203650176,0.371847934367698,0.34702220707487
2010,68,Manufacturing,0.518285500245408,1.5336971403477,0.129124796569451,8.89179493114223,1.56449643325973,3.34708457668097,0.64467277896306,Inf,1.44383650024586,Inf,1.16472113045185,0.110686675169847,0.0718959777644735,0.0521882673469211,Inf,0.0336443553398067,0.553499685124596,0.662067896841806,0.0841918480334237,0,0.313381534813307,0.713820769416585,3.64811417669504,Inf,0.505578492075441,0.354513218527513
2011,68,Manufacturing,0.577638666863691,1.98476813852581,0.0420064211926223,9.13253046810082,1.69559120986653,2.69863093116801,0.739554799161487,1.49795462117426,1.65839650261863,Inf,1.33896030829494,0.102203229937996,0.0553161160118815,0.0346448414064934,0.0518964002847061,0.0256217587283608,0.552335117463824,0.708964157751579,0.0211643971793212,0,0.120775301121418,0.549658959804329,2.67598960721382,1.02548157739312,0.506290251582026,0.181533988647376
2012,68,Manufacturing,0.794188983222276,2.08703907324957,0.0499386131990635,8.30633892551294,2.70742713911924,3.18278731867836,0.819098246118145,1.75527687260009,1.74312647765468,Inf,1.65776205227418,-0.01170098775023,-0.0786095894494868,-0.059012620255971,-0.103583487526838,-0.048337133750502,0.494098803259776,0.619466164576544,0.0239279723313027,0,0.0951631630136572,0.443884654159843,4.011313620654,1.14293814071593,0.533350972200292,0.125975039695028
2013,68,Manufacturing,1.10590526472124,2.57136047219121,0.174992454330735,7.24377996737572,2.59250268893662,2.68077844192708,0.843528418548205,1.37158124291212,1.87632065828587,Inf,1.63822588233102,0.0981069973824714,0.00123114261976914,-0.00107078131779459,-0.00146866357074778,-0.000903234471610232,0.514903608620781,0.569914340411855,0.0680544234164155,0,0.265453625729027,0.52012494221983,0.534832015810277,0.626004002751697,0.384995179231843,0.313667517639305
