year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2000,Manufacturing,405187,153397,96371,0,24570,0,236879,684,121395,33533,8657,0,0,0,283792,238227,225666,12562,4200,1762,389,847
2001,Manufacturing,329152,60769,42210,12644,1397,0,256013,499,114741,33793,22020,0,73175,0,214411,191224,160119,31105,23001,18427,5572,13013
2002,Manufacturing,281254,33174,8862,13252,2755,0,238460,0,107066,41013,26028,0,58123,0,174188,177716,156118,21598,15384,915,260,608
2003,Manufacturing,278782,50778,0,10602,2866,0,220066,460,94397,34307,20278,0,42116,17805,184385,203683,160412,43271,36243,30317,8633,20161
2004,Manufacturing,307713,66551,0,12840,5274,0,235533,307,99391,27817,14206,0,22528,39487,208322,247128,169934,77194,68324,67477,19214,44873
2005,Manufacturing,294936,88991,0,20332,5225,0,202264,317,73101,37620,16692,0,0,35481,221835,251408,173009,78399,65302,57476,-2243,60113
2006,Manufacturing,296793,104034,60585,22853,5852,0,192568,191,154063,115088,60288,40102,0,38975,142730,283204,178673,104531,92107,92097,18655,70171
2007,Manufacturing,313269,145692,105294,27299,7483,0,167428,149,137879,82247,21578,29141,26957,28674,175390,308694,169954,138740,127322,127047,36587,84066
2008,Manufacturing,275967,123008,87682,18989,5153,0,152902,58,96540,46890,18282,24797,26806,22845,179427,260862,182565,78297,74715,75617,21794,50002
2009,Manufacturing,256125,94711,41664,45079,3464,0,161392,22,119744,25105,20594,0,72336,22303,136381,268552,204069,64484,59497,57576,16780,37854
2010,Manufacturing,243900,110991,76331,27006,3087,0,132890,18,128701,42938,25310,0,69169,16593,0,279084,179590,99493,98298,95947,27607,63500
2011,Manufacturing,445335,179342,128469,38491,2355,0,265857,135,253254,78682,27913,40059,162615,11957,192081,329977,198045,131932,120865,121010,36702,84308
2012,Manufacturing,528618,137621,88518,29484,8952,0,390656,341,275377,63378,62010,0,197535,12474,253241,261996,175767,86229,74505,80914,24713,56202
2013,Manufacturing,590245,178261,35194,28285,37636,0,411458,526,321729,60508,36568,23940,237908,23312,268516,229816,166225,63591,51504,27311,8138,19173
2014,Manufacturing,593467,200528,113516,19648,38577,0,392305,633,296207,60960,28727,32234,211506,23740,297260,253122,154986,98136,87321,60618,15711,44907
